id_pasajero,nombre,edad
P0001,Roberto García,61
P0002,Miguel Martínez,35
P0003,Diego Ruiz,49
P0004,Pedro Rodríguez,60
P0005,Luis Rodríguez,31
P0006,Sofia Torres,38
P0007,Ana Martín,27
P0008,Carmen González,34
P0009,Ana Gómez,39
P0010,Pedro Sánchez,38
P0011,Luis Fernández,36
P0012,Elena González,35
P0013,Sofia Torres,44
P0014,Ana Torres,42
P0015,Luis González,57
P0016,Roberto González,62
P0017,Roberto Pérez,56
P0018,Elena Fernández,69
P0019,Elena Rodríguez,61
P0020,Juan Torres,48
P0021,Roberto Ruiz,28
P0022,Laura Pérez,36
P0023,Carlos Gómez,48
P0024,Jorge Díaz,56
P0025,Carmen Martínez,18
P0026,Pedro Rodríguez,49
P0027,Ana Fernández,38
P0028,Sofia Martín,51
P0029,Luis Fernández,63
P0030,Pedro Rodríguez,29
P0031,Laura González,28
P0032,Carlos Martín,32
P0033,Patricia Fernández,23
P0034,María López,57
P0035,Carlos Sánchez,28
P0036,Laura Díaz,43
P0037,Ana Ruiz,66
P0038,Ana Gómez,63
P0039,Jorge Martín,44
P0040,Sofia Martínez,44
P0041,Jorge Ruiz,56
P0042,Diego Sánchez,35
P0043,Diego Martínez,18
P0044,Carlos Gómez,22
P0045,Luis Martínez,20
P0046,Jorge García,18
P0047,Jorge Pérez,51
P0048,Luis Sánchez,50
P0049,Diego Torres,64
P0050,Ana Gómez,44
P0051,Sofia Fernández,42
P0052,Miguel González,66
P0053,Carlos Martínez,25
P0054,Patricia Martínez,30
